title,genre,score,synopsis
Loving Leah,"Drama, Romance",7.0,"When his estranged brother dies suddenly, Jake Lever is confronted with an old Jewish custom. In days past, a man was expected to marry his deceased brother's childless widow, but it is now customary to perform a ceremony releasing the pair from the obligation. During the Halizah ceremony, Jake feels uncomfortable renouncing his brother's memory. Additionally, Leah wishes to escape the confines of her orthodox community and avoid her mother's matchmaking. On the spur of the moment, Leah and Jake decide to enter into a platonic marriage of convenience."
A Christmas Carol,"Drama, Family, Fantasy",7.8,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption."
Beakman's World,"Comedy, Family",8.6,"In this show, which works like a cross between Mr. Wizard and Monty Python, the science teacher, Beakman answers viewer questions about science. With the help of his assistants Josie and Lester the Rat, he uses various methods like animation, interviews with famous dead people of science and simple experiments to illustrate scientific principles."
Space Dandy,"Animation, Adventure, Comedy",8.1,"Space Dandy: he's a dandy guy in space. He combs the galaxy like his pompadour on the hunt for aliens. Planet after planet he searches, discovering bizarre new creatures both friendly and not. These are the spectacular adventures of Space Dandy and his brave space crew in space."
Counting Cars,Reality-TV,7.0,"Danny aka ""The Count"" and his skilled staff restores and modifies classic automobiles and motorcycles."
Inside Look: The Assassination of Gianni Versace - American Crime Story,"Documentary, Short",7.7,An inside look at the making of American Crime Story: The Assassination of Gianni Versace.
Criminal Justice,"Crime, Drama, Mystery",7.7,"The series revolves around Vikrant's character Aditya who was charged for murder. One night in Mumbai, a girl hired his taxi and ended up having a one night stand under the influence of drugs. When he woke up the girl was dead with a stab in her back and knife in Aditya's hand. This resulted him accused for murder and rejection of bail. The remaining plot is how he goes through the criminal justice system and prove his innocence."
Mahabharat,"Drama, History, War",9.0,"Journey of Karna and Pandavas and their fates of their successors. As the conflict between the Pandavas and Kauravas grow, they meet up in battle where Karna has to fight against his brothers but instead sacrifices himself. The journey of Karna from being born illegitimately through Kunti and Surya to becoming the greatest warrior of Indian history. Lord Krishna enters later in the epic to help the Pandavas. Karna protects his brothers by giving away his Kawacha and Kundala and sacrifices his life for Pandavas."
The No. 1 Ladies' Detective Agency,"Comedy, Crime, Drama",8.2,"After her father's death, sensible and cheerful Mma Precious Ramotswe sells her inherited cattle and opens the country's only female-owned detective agency. She hires Botswana Secretarial College graduate (97% in the final exams!) Grace Makutsi as her assistant. Together they solve problems big and small with their wisdom, big hearts, and endless cups of red-bush tea. Meanwhile, Mma Ramotswe's best friend, mechanic Mr. JLB Matekoni, hopes for a chance to win her heart... Based on Alexander McCall Smith's best-selling book series."
Comrade Detective,"Action, Comedy, Crime",7.2,"Parody comedy designed to resemble a nonexistent gritty 1980s Cold War Romanian police show that promoted communist ideals. The action-packed and blood-soaked first season finds detectives Gregor Anghel and Joseph Baciu investigating the murder of fellow officer Nikita Ionescu and, in the process, unraveling a subversive plot to destroy their country that is fueled by what else but the greatest enemy: capitalism."
Sons of Tucson,Comedy,7.0,"Sons of Tucson is a family comedy about three brothers who hire a charming, wayward schemer to stand in as their father when their real one goes to prison. What begins as a business relationship evolves into something more complex and compelling: a family unlike any we've ever seen. The three brothers find their dad-for-hire, Ron Snuffkin (Tyler Labine), at the local sporting good store. Ron will be forced to draw on a wide array of skills and a vast bag of tricks as he steps into the patriarch role to take care of the boys of the Gunderson family. Robby Gunderson, 8, is a loose cannon who doesn't respond well to authority; Gary Gunderson, 11, is a bright and street-savvy leader who is every bit the con man his father is; and Brandon Gunderson, 13, is a gentle free spirit who simply goes along for the ride. Maggie Morales (Natalie Martinez), Robby's second-grade teacher and the object of Ron's affection, might just be the only stable figure in the lives of this quirky quartet. While Sons of Tucson is grounded in the day-to-day challenges of a single-parent home, nothing in the Gunderson household is quite what it seems. An ongoing chess match between Ron and the boys will keep both parties on their toes, as neither side can afford to give up too much power or independence."
Drifters,"Animation, Action, Adventure",7.6,"The Drifters are a league of exemplary warriors from across history - the samurai Shimazu Toyohisa, the ninja Nasu, a World War 2 pilot, an Imperial Japanese naval officer, and a host of others - brought to an alternate Earth to fight and destroy the Ends, a similar group who have decided to take over the Earth instead of protecting it."
My Next Guest Needs No Introduction with David Letterman,Talk-Show,7.9,Comedian David Letterman interviews people he finds fascinating.
Rebelde Way,"Comedy, Drama, Music",7.7,"Four teenagers with different lives and personalities attend a prominent private school, with only one thing in common: their vocation and passion for music."
